fra;jour;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-05-13;7;6;13;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-13;21;7;28;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-13;64;41;105;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-13;66;43;109;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-13;62;40;102;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-13;64;53;117;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-13;36;54;92;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-13;40;49;90;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-13;81;40;121;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-13;88;26;114;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-13;537;361;901;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-14;9;5;19;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-14;14;25;42;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-14;54;61;116;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-14;63;50;113;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-14;65;53;121;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-14;73;54;129;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-14;34;40;86;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-14;39;45;84;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-14;97;63;166;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-14;102;17;119;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-14;562;419;1015;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-15;8;8;16;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-15;16;23;41;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-15;66;64;134;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-15;62;65;131;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-15;57;55;115;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-15;66;59;128;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-15;39;52;91;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-15;54;46;104;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-15;112;44;162;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-15;81;28;115;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-15;564;446;1044;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-16;6;4;10;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-16;5;8;13;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-16;22;15;37;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-16;9;18;27;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-16;22;17;39;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-16;11;21;32;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-16;11;11;22;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-16;15;12;27;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-16;25;22;48;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-16;34;3;37;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-16;160;131;292;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-17;2;4;6;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-17;3;1;4;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-17;8;9;17;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-17;6;6;12;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-17;8;6;14;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-17;15;3;18;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-17;7;9;16;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-17;3;13;16;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-17;15;7;22;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-17;11;6;17;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-17;78;64;142;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-18;20;13;35;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-18;30;19;49;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-18;79;45;125;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-18;56;50;109;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-18;62;56;118;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-18;71;46;117;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-18;53;60;113;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-18;47;57;104;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-18;126;62;188;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-18;135;26;161;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-18;679;435;1120;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-19;7;13;21;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-19;25;16;42;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-19;66;49;115;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-19;71;48;121;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-19;74;66;140;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-19;68;57;125;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-05-19;52;50;104;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-05-19;45;48;93;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-05-19;91;52;143;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-05-19;120;29;149;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-05-19;619;428;1055;34692807.7476749;32422187.2523251;0;67114995
FR;2020-05-20;16;10;27;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-05-20;38;21;59;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-05-20;63;52;116;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-05-20;68;62;131;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-05-20;87;58;147;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-05-20;82;73;155;4494308.44474725;4298366.32326346;59;8792674.76801071
